
DATA_PATH, n, d, k: /home/hrgat/Namizje/Shudian/2021.0096-master/src/clustering_c++/git_instances/zelnik1.txt 299 2 3
LOG_PATH: /home/hrgat/Namizje/Shudian/2021.0096-master/src/clustering_c++/git_instances_results/zelnik1_3.txt

BRANCH_AND_BOUND_TOL: 0.0001
BRANCH_AND_BOUND_PARALLEL: 2
BRANCH_AND_BOUND_MAX_NODES: 100
BRANCH_AND_BOUND_VISITING_STRATEGY: 0

SDP_SOLVER_SESSION_THREADS_ROOT: 24
SDP_SOLVER_SESSION_THREADS: 24
SDP_SOLVER_FOLDER: /home/hrgat/Namizje/Shudian/SDPNAL+v1.0/
SDP_SOLVER_TOL: 1e-05
SDP_SOLVER_VERBOSE: 1
SDP_SOLVER_MAX_CP_ITER_ROOT: 40
SDP_SOLVER_MAX_CP_ITER: 20
SDP_SOLVER_CP_TOL: 1e-05
SDP_SOLVER_MAX_INEQ: 100000
SDP_SOLVER_INHERIT_PERC: 1
SDP_SOLVER_EPS_INEQ: 0.0001
SDP_SOLVER_EPS_ACTIVE: 1e-06
SDP_SOLVER_MAX_PAIR_INEQ: 100000
SDP_SOLVER_PAIR_PERC: 0.05
SDP_SOLVER_MAX_TRIANGLE_INEQ: 100000
SDP_SOLVER_TRIANGLE_PERC: 0.05

KMEANS_SDP_BASED: 1
KMEANS_MAX_ITER: 100
KMEANS_N_START: 50
KMEANS_VERBOSE: 0


|    N| NODE_PAR|    NODE|      LB_PAR|          LB|  FLAG|  TIME (s)| CP_ITER| CP_FLAG|   CP_INEQ|     PAIR  TRIANGLE    CLIQUE|         GUB|     I      J|     NODE_GAP|          GAP|  OPEN|
|  299|       -1|       0|        -inf|     6.79345|     0|      1041|      40|      -1|     12274|  178.325      5000       299|    6.88992*|    -1     -1|    0.0140012|    0.0140012|     0|
|  298|        0|       1|     6.79345|     6.84499|     0|      2061|      20|       3|     12055|      1.9      4738       298|     6.88992|   278    291|   0.00651976|   0.00651976|     0|
|  299|        0|       2|     6.79345|     6.84107|     0|      2105|      19|      -3|     11201|  1.78947      4415       299|     6.88992|   278    291|    0.0070891|   0.00651976|     1|
|  298|        1|       3|     6.84499|      6.8568|     0|       503|       4|      -3|     12132|        0      2870       298|     6.88992|   236    251|    0.0048068|    0.0070891|     2|
|  299|        2|       4|     6.84107|     6.85154|     0|       462|       3|      -3|     14578|        0      3509       299|     6.88992|   213    224|    0.0055695|   0.00651976|     3|
|  297|        1|       5|     6.84499|     6.86325|     0|       581|       5|      -3|     15603|        5      4177       297|     6.88992|   236    251|   0.00387048|    0.0055695|     4|
|  298|        2|       6|     6.84107|     6.85175|     0|       784|       5|       3|     10679|      4.8      3274       298|     6.88992|   213    224|   0.00553947|    0.0055695|     5|
|  299|        4|       7|     6.85154|     6.86288|     0|       647|       4|      -3|     10533|        0      2885       299|     6.88992|   284    290|   0.00392367|   0.00553947|     6|
|  298|        6|       8|     6.85175|      6.8593|     0|       368|       3|       3|     10888|        0      3380       298|     6.88992|   214    227|   0.00444372|   0.00553947|     7|
|  298|        4|       9|     6.85154|     6.85903|     0|       869|       4|      -3|     12245|     0.75      3197       298|     6.88992|   284    290|   0.00448257|    0.0048068|     8|
|  298|        3|      10|      6.8568|     6.86945|     0|       533|       4|      -3|     11625|        0      2912       298|     6.88992|   206    214|   0.00296977|    0.0048068|     9|
|  297|        6|      11|     6.85175|      6.8665|     0|       830|       6|      -3|     11412|  5.66667      3449       297|     6.88992|   214    227|   0.00339783|   0.00448257|    10|
|  297|        3|      12|      6.8568|     6.86506|     0|       781|       4|      -3|     14981|     5.25      3891       297|     6.88992|   206    214|   0.00360756|   0.00448257|    11|
|  298|        9|      13|     6.85903|     6.87087|     0|       619|       4|      -3|     10635|        0      2796       298|     6.88992|   209    218|   0.00276461|   0.00444372|    12|
|  298|        8|      14|      6.8593|     6.86747|     0|       404|       3|       3|     10474|        0      2750       298|     6.88992|   210    222|   0.00325767|   0.00444372|    13|
|  297|        9|      15|     6.85903|     6.86796|     0|       657|       4|       3|     10846|        0      3920       297|     6.88992|   209    218|   0.00318593|   0.00392367|    14|
|  299|        7|      16|     6.86288|     6.87046|     0|       513|       4|      -3|      9193|        0      1843       299|     6.88992|   280    287|   0.00282318|   0.00392367|    15|
|  297|        8|      17|      6.8593|     6.87183|     0|       788|       6|       3|      9984|  3.66667      2891       297|     6.88992|   210    222|   0.00262551|   0.00387048|    16|
|  298|        7|      18|     6.86288|      6.8705|     0|       531|       4|       3|      9342|        0      2666       298|     6.88992|   280    287|   0.00281858|   0.00387048|    17|
|  297|        5|      19|     6.86325|     6.87859|     0|       736|       5|      -3|     11459|        0      2701       297|     6.88992|   216    229|   0.00164427|   0.00360756|    18|
|  296|        5|      20|     6.86325|      6.8788|     0|       715|       7|      -3|     11698|  4.85714      2965       296|     6.88992|   216    229|   0.00161279|   0.00360756|    19|
|  297|       12|      21|     6.86506|     6.88032|     0|       807|       5|       3|     10379|        0      2721       297|     6.88992|   212    221|   0.00139244|   0.00339783|    20|
|  296|       12|      22|     6.86506|      6.8746|     0|       866|       4|      -3|     14383|     6.75      3660       296|     6.88992|   212    221|   0.00222304|   0.00339783|    21|
|  297|       11|      23|      6.8665|     6.88031|     0|       695|       6|      -3|      9347|        0      1879       297|     6.88992|   275    279|    0.0013935|   0.00325767|    22|
|  296|       11|      24|      6.8665|     6.87441|     0|       851|       5|       3|     11200|      3.2      4082       296|     6.88992|   275    279|    0.0022497|   0.00325767|    23|
|  297|       14|      25|     6.86747|     6.88083|     0|       719|       5|      -3|     12034|        9      3726       297|     6.88992|   267    282|    0.0013192|   0.00318593|    24|
|  298|       14|      26|     6.86747|     6.87895|     0|       596|       4|       3|     10023|        0      3486       298|     6.88992|   267    282|   0.00159221|   0.00318593|    25|
|  296|       15|      27|     6.86796|     6.87481|     0|       721|       5|      -3|     10184|      3.8      3130       296|     6.88992|   215    221|   0.00219273|   0.00296977|    26|
|  297|       15|      28|     6.86796|     6.87897|     0|       526|       4|      -3|      9735|        0      2607       297|     6.88992|   215    221|   0.00158832|   0.00296977|    27|
|  297|       10|      29|     6.86945|     6.87739|     0|       737|       5|      -3|     13605|      2.2      3807       297|     6.88992|   207    213|   0.00181769|   0.00282318|    28|
|  298|       10|      30|     6.86945|     6.87628|     0|       389|       2|      -3|     14372|        0      3515       298|     6.88992|   207    213|    0.0019789|   0.00282318|    29|
|  298|       16|      31|     6.87046|     6.87487|     0|       412|       3|      -3|     13292|        0      3453       298|     6.88992|   283    288|   0.00218307|   0.00281858|    30|
|  299|       16|      32|     6.87046|     6.87555|     0|       524|       5|      -3|     10261|        0      1894       299|     6.88992|   283    288|   0.00208441|   0.00281858|    31|
|  297|       18|      33|      6.8705|     6.87383|     0|       533|       4|       3|      9137|        0      2280       297|     6.88992|   254    260|   0.00233523|   0.00276461|    32|
