
DATA_PATH, n, d, k: /home/hrgat/Namizje/Shudian/2021.0096-master/src/clustering_c++/git_instances/ecoli.txt 336 7 8
LOG_PATH: /home/hrgat/Namizje/Shudian/2021.0096-master/src/clustering_c++/git_instances_results/ecoli_8.txt

BRANCH_AND_BOUND_TOL: 0.0001
BRANCH_AND_BOUND_PARALLEL: 2
BRANCH_AND_BOUND_MAX_NODES: 100
BRANCH_AND_BOUND_VISITING_STRATEGY: 0

SDP_SOLVER_SESSION_THREADS_ROOT: 24
SDP_SOLVER_SESSION_THREADS: 24
SDP_SOLVER_FOLDER: /home/hrgat/Namizje/Shudian/SDPNAL+v1.0/
SDP_SOLVER_TOL: 1e-05
SDP_SOLVER_VERBOSE: 1
SDP_SOLVER_MAX_CP_ITER_ROOT: 40
SDP_SOLVER_MAX_CP_ITER: 20
SDP_SOLVER_CP_TOL: 1e-05
SDP_SOLVER_MAX_INEQ: 100000
SDP_SOLVER_INHERIT_PERC: 1
SDP_SOLVER_EPS_INEQ: 0.0001
SDP_SOLVER_EPS_ACTIVE: 1e-06
SDP_SOLVER_MAX_PAIR_INEQ: 100000
SDP_SOLVER_PAIR_PERC: 0.05
SDP_SOLVER_MAX_TRIANGLE_INEQ: 100000
SDP_SOLVER_TRIANGLE_PERC: 0.05

KMEANS_SDP_BASED: 1
KMEANS_MAX_ITER: 100
KMEANS_N_START: 50
KMEANS_VERBOSE: 0


|    N| NODE_PAR|    NODE|      LB_PAR|          LB|  FLAG|  TIME (s)| CP_ITER| CP_FLAG|   CP_INEQ|     PAIR  TRIANGLE    CLIQUE|         GUB|     I      J|     NODE_GAP|          GAP|  OPEN|
|  336|       -1|       0|        -inf|     13.8362|     0|       425|       9|      -3|      8641|  518.333      5000       336|    13.8502*|    -1     -1|   0.00101339|   0.00101339|     0|
|  335|        0|       1|     13.8362|     13.8362|    -3|       388|       2|      -3|      8237|     36.5      5000       335|     13.8502|   287    306|   0.00101339|   0.00101339|     0|
|  336|        0|       2|     13.8362|       13.84|     0|       460|       2|      -3|      8269|     11.5      5000       336|    13.8486*|   287    306|  0.000619795|  0.000896971|     1|
|  334|        1|       3|     13.8362|     13.8544|     0|       162|       0|       2|      8103|        0         0         0|     13.8486|   212    213| -0.000418482|  0.000619795|     2|
|  335|        1|       4|     13.8362|     13.8445|     0|       580|       2|       3|      8510|      2.5      5000       335|     13.8486|   212    213|  0.000294311|  0.000619795|     1|
|  336|        2|       5|       13.84|     13.8417|     0|       355|       2|      -3|      9506|        0      3883       336|     13.8486|   107    129|   0.00049411|  0.000294311|     2|
|  336|        5|       6|     13.8417|     13.8471|     0|       560|       2|      -3|     10149|        0      2608       336|     13.8486|    83    129|  0.000107894|   0.00049411|     3|
|  335|        2|       7|       13.84|     13.8429|     0|       765|       6|      -3|      5316|       10      3278       335|     13.848*|   107    129|  0.000370547|  0.000254004|     4|
|  335|        7|       8|     13.8429|     13.8438|     0|       318|       3|      -3|      4280|        0   410.333       335|      13.848|    35     42|  0.000307178|  0.000370547|     5|
|  335|        5|       9|     13.8417|     13.8447|     0|       516|       4|      -3|      5759|    10.25      2544       335|      13.848|    83    129|  0.000237614|  0.000307178|     6|
|  335|        8|      10|     13.8438|     13.8438|     0|       197|       1|      -3|      4280|        0      3646       335|      13.848|   116    130|    0.0003036|  0.000307178|     7|
|  334|        7|      11|     13.8429|     13.8429|     0|       204|       1|      -3|      5117|        9      5000       334|      13.848|    35     42|  0.000370547|    0.0003036|     8|
|  334|       11|      12|     13.8429|     13.8429|     0|       209|       1|      -3|      5117|        3      5000       334|      13.848|     8     35|  0.000370547|  0.000370547|     9|
|  334|        8|      13|     13.8438|     13.8438|     0|       286|       2|      -3|      8630|     52.5      5000       334|      13.848|   116    130|  0.000307178|  0.000370547|    10|
|  333|       11|      14|     13.8429|     13.8476|     0|       206|       1|       2|      9021|       20      5000       333|      13.848|     8     35|   2.8761e-05|  0.000370547|    11|
|  334|       12|      15|     13.8429|     13.8458|     0|       307|       2|      -3|      8907|      4.5      4439       334|      13.848|    31     57|  0.000161136|  0.000307178|    10|
|  333|       12|      16|     13.8429|     13.8429|     0|       317|       2|      -3|      8841|       28      5000       333|      13.848|    31     57|  0.000370547|  0.000307178|    11|
|  334|       13|      17|     13.8438|     13.8438|    -2|       335|       1|      -3|      8630|       61      5000       334|      13.848|    32     94|  0.000307178|  0.000370547|    12|
|  333|       16|      18|     13.8429|     13.8429|     0|       432|       1|      -3|      8841|        5      5000       333|      13.848|   103    134|  0.000370547|  0.000307178|    13|
|  332|       16|      19|     13.8429|     13.8429|     0|       492|       1|      -3|      8541|       67      5000       332|      13.848|   103    134|  0.000370547|  0.000370547|    14|
|  333|       18|      20|     13.8429|     13.8475|     0|       486|       1|       2|      8423|        4      5000       333|      13.848|    81    103|  4.01452e-05|  0.000370547|    15|
|  332|       18|      21|     13.8429|     13.8429|     0|       406|       2|      -3|      8312|     52.5      5000       332|      13.848|    81    103|  0.000370547|  0.000370547|    14|
|  332|       19|      22|     13.8429|     13.8473|     0|       403|       1|       2|      8366|       67      5000       332|      13.848|    67     88|  5.36656e-05|  0.000370547|    15|
|  331|       19|      23|     13.8429|     13.8429|     0|       399|       1|       3|      7862|       53      5000       331|      13.848|    67     88|  0.000370547|  0.000370547|    14|
|  332|       21|      24|     13.8429|     13.8471|     0|       392|       2|       2|      8042|     62.5      5000       332|      13.848|    40     81|  6.40405e-05|  0.000370547|    15|
|  331|       21|      25|     13.8429|     13.8549|     0|       306|       2|       2|      7793|     62.5      5000       331|      13.848|    40     81| -0.000499194|  0.000370547|    14|
|  330|       23|      26|     13.8429|     13.8797|     0|       171|       1|       2|      7262|      253      5000       330|      13.848|   208    212|  -0.00228888|  0.000307178|    13|
|  331|       23|      27|     13.8429|     13.8449|     0|       425|       3|      -3|      7438|  106.333      5000       331|      13.848|   208    212|  0.000223602|  0.000307178|    12|
|  333|       13|      28|     13.8438|     13.8438|     0|       521|       1|      -3|      8255|       64      5000       333|      13.848|    32     94|  0.000307178|  0.000307178|    13|
|  334|       17|      29|     13.8438|     13.8438|    -3|       378|       1|      -3|      8630|       60      5000       334|      13.848|    28     31|  0.000307178|  0.000307178|    14|
|  333|       17|      30|     13.8438|     13.8438|    -3|       441|       1|      -3|      8307|      109      5000       333|      13.848|    28     31|  0.000307178|  0.000307178|    15|
|  333|       28|      31|     13.8438|     13.8469|     0|       580|       0|       2|      8255|        0         0         0|      13.848|    31     55|  7.90624e-05|  0.000307178|    16|
