
DATA_PATH, n, d, k: /home/hrgat/Namizje/Shudian/2021.0096-master/src/clustering_c++/git_instances/ecoli.txt 336 7 10
LOG_PATH: /home/hrgat/Namizje/Shudian/2021.0096-master/src/clustering_c++/git_instances_results/ecoli_10.txt

BRANCH_AND_BOUND_TOL: 0.0001
BRANCH_AND_BOUND_PARALLEL: 2
BRANCH_AND_BOUND_MAX_NODES: 100
BRANCH_AND_BOUND_VISITING_STRATEGY: 0

SDP_SOLVER_SESSION_THREADS_ROOT: 24
SDP_SOLVER_SESSION_THREADS: 24
SDP_SOLVER_FOLDER: /home/hrgat/Namizje/Shudian/SDPNAL+v1.0/
SDP_SOLVER_TOL: 1e-05
SDP_SOLVER_VERBOSE: 1
SDP_SOLVER_MAX_CP_ITER_ROOT: 40
SDP_SOLVER_MAX_CP_ITER: 20
SDP_SOLVER_CP_TOL: 1e-05
SDP_SOLVER_MAX_INEQ: 100000
SDP_SOLVER_INHERIT_PERC: 1
SDP_SOLVER_EPS_INEQ: 0.0001
SDP_SOLVER_EPS_ACTIVE: 1e-06
SDP_SOLVER_MAX_PAIR_INEQ: 100000
SDP_SOLVER_PAIR_PERC: 0.05
SDP_SOLVER_MAX_TRIANGLE_INEQ: 100000
SDP_SOLVER_TRIANGLE_PERC: 0.05

KMEANS_SDP_BASED: 1
KMEANS_MAX_ITER: 100
KMEANS_N_START: 50
KMEANS_VERBOSE: 0


|    N| NODE_PAR|    NODE|      LB_PAR|          LB|  FLAG|  TIME (s)| CP_ITER| CP_FLAG|   CP_INEQ|     PAIR  TRIANGLE    CLIQUE|         GUB|     I      J|     NODE_GAP|          GAP|  OPEN|
|  336|       -1|       0|        -inf|     12.2476|     0|       434|       9|      -3|      8645|  467.222      5000       336|    12.2675*|    -1     -1|    0.0016206|    0.0016206|     0|
|  336|        0|       1|     12.2476|     12.2494|     0|       204|       1|      -3|      8645|       35      5000       336|     12.2675|   274    280|   0.00147883|   0.00147883|     0|
|  336|        1|       2|     12.2494|       12.25|     0|       211|       1|      -3|      8645|       35      5000       336|     12.2675|   285    306|    0.0014269|   0.00147883|     1|
|  335|        0|       3|     12.2476|     12.2614|     0|       862|       2|      -3|      8752|       61      5000       335|     12.2675|   274    280|  0.000499431|    0.0014269|     2|
|  335|        1|       4|     12.2494|     12.2566|     0|       588|       5|      -3|      9346|     31.6      4805       335|     12.267*|   285    306|  0.000850061|   0.00138841|     3|
|  336|        2|       5|       12.25|     12.2528|     0|       193|       1|      -3|      8645|       36      5000       336|      12.267|    98    106|   0.00116137|  0.000850061|     4|
|  336|        5|       6|     12.2528|     12.2555|     0|       214|       1|      -3|      8645|       36      5000       336|      12.267|    76    117|   0.00093668|   0.00116137|     5|
|  335|        2|       7|       12.25|     12.2562|     0|       286|       1|      -3|      8412|       35      5000       335|    12.2656*|    98    106|  0.000763509|  0.000818802|     6|
|  336|        6|       8|     12.2555|     12.2619|     0|       474|       3|      -3|      8521|       14      5000       336|     12.2656|    54     91|   0.00030357|  0.000818802|     7|
|  335|        5|       9|     12.2528|     12.2635|     0|       538|       4|       3|      5707|       10      3913       335|     12.2656|    76    117|  0.000167053|  0.000763509|     8|
